course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,comments,tips
BIO-105,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/cellular-biology-and-biochemistry-for-engineers-BIO-105,Cellular biology and biochemistry for engineers,3.2 (4),3.2,2.5,2 (4),['Zufferey'],"[""I took Cellular biology for engineers, the lectures were interesting (hey I know how DNA replication works and why cancer happens!) and perfectly accessible (I didn't like biology nor chemistry at school and remembered approx nothing). The only assessment is the exam, but after doing the exercises it is not hard (not super easy and not super forgiving tho, I ended up with a 5).\n*sourced from the web"", 'The course is a good intro to learning the basics and is interesting. You learn stuff to talk about at parties. However, the exam is close to the exercises but more advanced. Take them seriously. The exam is okayish, but the grading is quit harsh.', 'The course is interesting and useful if you want a minor in the field of life sciences. The first few lectures are a bit less interesting. The course is mainly about genomics and genetics. The biochemistry part is very short (one lecture) and the course does not cover parts like the components of a cell. The main topics are DNA, replication of DNA, transcription and translation, genetics (Mendel and Morgan) and UPGMA (an phylogenetic algorithm).', 'I would not recommend it unless it is mandatory ………….']","['Go to the lectures and do the exercises. Pay attention to the statics stuff.', 'It is not necessary to go to class, but I recommend it, because the professor repeats multiple times the information needed for the exam. The most useful lecture is the one in week 14, where the professor solves all the exercises of the exam of the previous year.', 'Learn to do the exercises of the exam (always the same) and out as much theory as possible in the cheat sheet']"
BIO-109,https://edu.epfl.ch/studyplan/en/bachelor/communication-systems/coursebook/introduction-to-life-sciences-for-ic-BIO-109,Introduction to life sciences (for IC),3 (1),2.0,2.0,1 (6),['Zufferey'],['You will learn new things but usually with not a lot of depth except one or two subjects. The slides are not enough at all to understand the subject. Just coming to class is enough to understand everything'],"['Exams questions are almost always the exact sames, the teacher will usually use the last few classes to go over them. You can use internet and your computer during the exam.']"
BIO-221,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/cell-and-developmental-biology-for-engineers-BIO-221,Cell and developmental biology for engineers,5 (3),4.7,3.7,3 (4),"['Gönczy', 'Oates']","[""The professors try to make the course as interesting as possible, so the exercise sessions are very varied -- field trip, microscope labs, guest lectures, computer simulations. These make the course very interesting. The professors explain okay-well, but overall it's a very interesting course."", ""Two professors give lectures. They always try to make it interactive and to learn the names of everyone which feels nice ! The topics require a good understanding of basic molecular biology but try to build engineering intuition on what is learnt and touch topics that we don't really see in other courses. Some exercices sessions are made peculiar formats (eg guest lectures, interactive/computational simulations, field excursion, microscopy,...) and are really appreciable. However these exercices do not exactly ressemble the exercices on the exam so this can be confusing."", 'My favourite course at EPFL. The content is very interesting, the professors explain well and are extremely nice, both excellent teachers. I definitely recommend it!']","[""And there are two continuous controls, because you don't need to learn everything at once. The first part of the course (embryology) is harder."", ""The exam is open book (electronic devices authorized if offline). Knowing where to find the information is more important that knowing it by heart. The professors like to insist on the reflexion. Each professor writes a part of the exam on their own topic. Oats' parts are usually easier than Gönczy's."", ""The first part is harder than the second, and don't underestimate the exam just because it is open book. The questions require a lot of thinking and a really good global comprehension of the material.""]"
BIO-310,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunology-BIO-310,Immunology,4 (2),4.0,3.5,4 (4),"['Lemaitre', 'Suter']","['It is interesting and gives you a good overview of immunology but it’s a lot of work. The classes are in video form for the first part and the second part is in person by a different teacher and pretty different.', 'Very interesting and broad course covering well the basics of immunology. If you already had some immunology before un the Bachelor, then the begining is a bit of a reminder, but you will learn some new cool stuff and the workload is more than appropriate.']","['Do the exercises but no need to go to the exercise session. The exam is hard : a lot of learning by heart and some thought exercises like at the end of the exercice worksheets. Don’t fall behind, at the end the lectures make more sense because a lot of stuff comes up multiple times', 'Exercises are quite helpful, but does not usually add more information than given in the course: but they help memorize and better understand. Exam is more on the easy side if you have achieved to learn the dense stuff.']"
BIO-311,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/neuroscience-BIO-311,Neuroscience,4.9 (8),4.5,2.6,3.2 (4),"['Mathis', 'Ramdya']","['Yes, if you like neuroscience. Well structured, the exercise sessions are well formatted and the teachers are available for questions all of the time. Great to learn the basic concepts. Midterm and exam aren’t too hard, just need to learn the course and remember/understand the concepts', 'Yes, very interesting and covers a lot in the field of neuroscience. The teachers are involved and share personal experiences', 'Yes, very interesting. The teachers take the time to explain well.', 'Yes, I would absolutely recommend this class. It gives a nice overview of neuroscience and is very well structured and quite interesting.', 'This is a good introduction to neuroscience and an easy good grade!', 'Interesting but a lot of stuff to learn by heart so be prepared to study a lot (midterm + final exam)', 'I loved this course, the profs were adorable and everything was very well-explained', 'Yes definitely well organized and professors are very good ….. …..']","['Went to the lectures, but still worked with the book, which is detailed and very intelligible, with figures especially. Don’t wait last minute for the midterm/exam because it can accumulate', 'Reading not necessary, focus on the slides, everything at the exams comes from the slides so it’s a lot of learning by heart', 'Go to the exercices sessions, it is very helpful !', 'I feel that the weekly quizzes are very similar to the type of questions at the exam. The slides usually contain all the information needed during the exam.', ""Make sure to understand the quizzes and check out the summaries on the drive, for the exam they didn't ask to be that precise => no need to spend too long on details"", ""do not leave everything until the last minute and do all the exercises. There's a lot of material so it's easy to get lost"", 'Take 4 full days before each exam to understand and memorize all the slides and the exam will be quite easy; everything is somewhere in the slides', 'Study time by time and go to the exercise sessions ……… ……']"
BIO-320,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/morphology-i-BIO-320,Morphology I,5 (1),5.0,3.0,5 (4),['Zufferey'],"[""The course was really interesting if you like medical school courses. It's still really a lot of work and things to learn by heart, but the professor explain really well and make learning by heart really easier.""]","[""Do a lot of flashcards and don't wait the end of the semester to learn all the content.""]"
BIO-369,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/randomness-and-information-in-biological-data-BIO-369,Randomness and information in biological data,4 (3),4.3,3.0,3 (4),['Bitbol'],"[""This is a really cool class, very interesting if you like stats and probabilities! The professor is very helpful, feel free to ask her questions! The workload is okay, don't take this class if you don't like probabilities and statistics!"", 'nice class with basic applied maths, some more advanced topics are very well explained and the teacher is always available for questions', 'The written notes are very clear and are sufficient in my opinion. I could not go to class but still understood most of it. If you want an excellent great it might still be necessary.']","[""I would recommend going to class since the provided written notes are sufficient but in class she rewrites everything and you get a more complete understanding. Also some results are hard to find by yourself so it's good to have the detailed explanation in class. Do the exercises! And make sure you understand them! Feel free to ask Pr. Bitbol she was very helpful and really took the time! The project is pretty chill since we have the projects from last years but know that she won't be as nice in the grading since she's aware everyone has the correction. Also I took this class in 2022 and she might have changed stuff since someone copy pasted (Even kept the name of the TA who provided the solutions) the project from the previous year. EXAM: The exam is okay, I'd say it's not an easy 5.5 or anything but overall it's fair, if you understood the subject you'll be fine!"", 'attending lectures really makes learning more easy, exercise sheets sometimes go beyond what there was in the exam but the first exercises are good applications', 'The exercices are very helpful and the exam is similar. The greading is quite harsh I found, especially for the project, so make sure you do it very carefully.']"
BIO-372,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/microbiology-BIO-372,Microbiology,5 (5),5.0,1.8,1.8 (4),['McKinney'],"['Very nice class sessions, teacher tries to make it as interactive as possible. Grading system is advantageous, professor tries to apply a pedagogical approach. 3 easy exams during semester, points for doing the exercises, as well as a small project at the end', 'Very nice class sessions, teacher tries to make it as interactive as possible. Grading system is advantageous, professor tries to apply a pedagogical approach. 3 easy exams during semester, points for doing the exercises, as well as a small project at the end', 'Great class, even though I am personally not as interested in microbiology! I still really enjoyed it! I love how the professor combines a lot of concepts as well as how he decided to structure the class. (Three exams during semester plus a final project as well as weekly exercise hand-ins.)', ""John McKinney is the nicest professor I've ever had at EPFL. The assessment method is 1. 3x midterm exams which are almost exactly like the exercises 2. Graded exercises, once you get it you have 2 weeks to submit them and you get the point as long as you send something (so even if it's incorrect, also you're asked to correct the exercises yourself and ask someone else to do so) 3. A poster + presentation/video He's kind in the grading, this is not at all a stressful class and it's not very time consuming, also no exams during the exam session so that's a plus!"", ""The professor is really nice, the course content is very interesting, despite the fact that I was not interested in the topic before taking this class. It's taught in a way that makes it easy to follow and understand and the 3 mini exams are a great because you're only assessed on 3 lectures at a time. The mini project is fun to do and the poster session is cool. I highly recommend taking this class.""]","['Get those free exercise points, don’t forget to send them. And don’t fall too much behind, subject is easy, shame to miss out on those exams (similar to exercices)', 'Get those free exercise points, don’t forget to send them. And don’t fall too much behind, subject is easy, shame to miss out on those exams (similar to exercices)', 'Summarise the subject every week. It will safe you a lot of time before the exams. Do the exercises ahead of the exercise sessions so you actually have time to correct them in the time given.', 'Do the exercises seriously and try to understand the corrections since the exams will be almost identical', ""Don't fall behind, do not forget to send the exercises, if you follow the lectures and do the weekly exercise sheets you have to study very little before the exams.""]"
BIO-377,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/physiology-by-systems-BIO-377,Physiology by systems,3.8 (4),3.5,4.2,4.5 (4),['Roy'],"['Course covers interesting topics, however very heavy workload with a lot to understand and see at a high pace. Professor openly made fun of students’ questions with the TAs during exercises sessions so beware…', 'Heavy load class with an interesting topic. Do not take this class if French is not your mother tongue (if you have the choice). Professor even made jokes while going through the mock exam ""this question is an example for susceptibility of the french language, haha sorry non-francophones...."".', ""This class is very interesting however it is quite hard since in order to understand one system, you must be familiar with all the others! It all comes together, and the exam is a MCQ + open questions. The open questions were okay (although I had no idea how to solve them) but the MCQ is quite long and it's easy to be mistaken since some answers are quite similar. I'd say the exercises aren't very useful unless you plan on answering the open questions (which I didn't do and still got a 5.25). The exam preparation (so the MCQ exercises) are quite useful. There are rumors that this class is super hard but I don't think it's true if you put in the work and you understand the different systems well enough you can get a good grade. I didn't follow the lectures seriously enough during the semester and ended up rewatching every single video before the exams so that helped."", 'Very interesting but time consuming. It is an open book exam with a MCQ (no negative points)']","['Don’t go to the lectures. They are long and very dense, the professor says the same thing in the videos almost word by word. Do take time to check you understand and annotate correctly for the exam since it’s open book.', 'Concentrate also on the open questions (which are very similar to the homework series) during the exam and not only the MCQ.', 'You need to have a good summary !! No time to go though all the slides during the exam, so you should have a good summary, annotated and maybe put stickers to find topics that are frequently asked. Good luck! It truly is an interesting class :)', 'Check de SV drive there are lots of useful documents']"
BIO-410,https://edu.epfl.ch/studyplan/en/master/communication-systems-master-program/coursebook/bioimage-informatics-BIO-410,Bioimage informatics,3.5 (2),3.5,3.0,4 (4),"['Sage', 'Seitz']","['It is an interesting course that is rather easy on the theoretical side if you have done Biomicroscopy I and Image Processing I. However, the homeworks and the project are more difficult and can take a lot of time. They are coded in Java. I learnt it on the fly and it was worth it! The exam is not difficult, but learn the formulas and concepts well because it is not easy either.', 'This course is a good choice if you want to familiarize yourself with Fiji (and a bit of Napari). It also presents an opportunity to learn to code Fiji plugins from scratch. I wouldn’t suggest it though if you want to understand the theory behind image processing.']","['Out of the 4 hours, the first two are for the theory, and the last two are for practice. After taking Biomicroscopy I and Image Processing I, attending the first two hours is not necessary. But the last two are definitely useful.', 'The exam has little to do with the rest of the course, many exam questions ask you to apply image processing algorithms by hand on a piece of paper. The homeworks and the project are coding-based.']"
