code,name,ects,link,professor,description
CH-313,Chemical biology,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/chemical-biology-CH-313,Hovius Rudolf,"Closely interfacing with bioengineering and medicine, this course provides foundational concepts in applying small-molecule chemical toolsets to probe the functions of living systems at the mechanistic and molecular level with emphasis placed on quantitative understanding and improving human health."
CH-317,Drug discovery and development,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/drug-discovery-and-development-CH-317,Heinis Christian,This course discusses the molecular basis of diseases and how drugs work. Concepts and processes employed in today's drug discovery and development are covered. The first part of the course focuses on small molecule drugs and the second one on biotherapeutics.
CH-312,Dynamics of biomolecular processes,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/dynamics-of-biomolecular-processes-CH-312,Fierz Beat,"In this course we will discuss advanced biophysical topics, building on the framework established in the course ""Macromolecular structure and interactions"". The course is held in English."
CH-319,Experimental biochemistry and biophysics,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/experimental-biochemistry-and-biophysics-CH-319,Hovius Rudolf,"A 7-week long (4+8 h) experiment where you plan and construct a fluorescent sensor protein starting from DNA bricks. The protein will be expressed in and purified from E.coli, characterized by biochemical and spectroscopic methods. Your report will be in the style of a scientific paper or poster"
CH-311,Macromolecular structure and interactions,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/macromolecular-structure-and-interactions-CH-311,Fierz Beat,This course covers the basic biophysical principles governing the thermodynamic and kinetic properties of biomacromolecules involved in chemical processes of life. The course is held in English.
CH-310,Dynamics and kinetics,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/dynamics-and-kinetics-CH-310,Feldmann Sascha,"The course covers the principles of chemical kinetics, including differential rate laws, derivation of exact and approximate integral rate laws for common elementary and composite reactions, fundamentals of collision and transition state theories, and applications such as enzymatic catalysis."
CH-349,Experimental physical chemistry,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/experimental-physical-chemistry-CH-349,Emsley David Lyndon,Experiments related to physical chemistry courses.
CH-315,Modeling lab,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/modeling-lab-CH-315,Smit Berend,"In this course we give a hands-on introduction on the use of modeling and data in chemistry. After an introduction in the different tools used by computational chemists, we discuss three topics in more detail molecular simulation of adsorption, data in chemistry, and machine learning."
CH-234,Organic functions and reactions II,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/organic-functions-and-reactions-ii-CH-234,Bobbink Felix Daniel,To develop basic understanding of the reactivity of aromatic and heteroaromatic compounds. To develop a knowledge of a class of pericyclic reactions. To apply them in the context of the synthesis.
CH-220,Preparative chemistry I,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/preparative-chemistry-i-CH-220,"Cramer Nicolai, Dyson Paul Joseph",Application de la réactivité de base en chimie organique à la synthèse multi-étapes de molécules polyfonctionnelles. Instruction sur les règles de sécurité dans un laboratoire de chimie de synthèse. Apprentissage de la planification et du suivi de voies de synthèse simples.
CH-314,Structural analysis,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/structural-analysis-CH-314,"Bostedt Christoph, Boyarkine Oleg, Emsley David Lyndon","The aim of this course is to treat three of the major techniques for structural characterization of molecules used in chemistry and chemical engineering: mass spectrometry, NMR, and X-ray techniques."
CH-352,Introduction to cheminformatics,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/introduction-to-cheminformatics-CH-352,Patiny Luc,Introduction aux concepts de base de cheminformatique et aux principaux outils utilisés. Applications potentielles de ces outils en recherche pour la gestion de l'information.
CH-353,Introduction to electronic structure methods,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/introduction-to-electronic-structure-methods-CH-353,Röthlisberger Ursula,"Repetition of the basic concepts of quantum mechanics and main numerical algorithms used for practical implementions. Basic principles of electronic structure methods:Hartree-Fock, many body perturbation theory, configuration interaction, coupled-cluster theory, density functional theory."
CH-351,Molecular dynamics and Monte-Carlo simulation,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/molecular-dynamics-and-monte-carlo-simulation-CH-351,Röthlisberger Ursula,Introduction to molecular dynamics and Monte-Carlo simulation methods.
CH-359,Project of Computational chemistry,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/project-of-computational-chemistry-CH-359,"Corminboeuf Anne-Clémence, Müllhaupt Philippe, Röthlisberger Ursula, Smit Berend",Ce cours exploite les techniques de chimie quantique et de modélisation moléculaire dans le cadre d'un projet de recherche visant a résoudre un problème chimique en binôme.
MATH-310,Algebra,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/algebra-MATH-310,Lachowska Anna,"This is an introduction to modern algebra: groups, rings and fields."
MATH-203(b),Analysis III,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/analysis-iii-MATH-203-B,Strütt David Valentin,Le cours étudie les concepts fondamentaux de l'analyse vectorielle et l'analyse de Fourier en vue de leur utilisation pour résoudre des problèmes pluridisciplinaires d'ingénierie scientifique.
MATH-207(d),Analysis IV,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/analysis-iv-MATH-207-D,Licht Martin Werner,Le cours étudie les concepts fondamentaux de l'analyse complexe et de l'analyse de Laplace en vue de leur utilisation pour résoudre des problèmes pluridisciplinaires d'ingénierie scientifique.
MATH-352,Causal thinking,5,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/causal-thinking-MATH-352,Stensrud Mats Julius,"This course will give a unified presentation of modern methods for causal inference. We focus on concepts, and we will present examples and ideas from various scientific disciplines, including medicine, computer science, engineering, economics and epidemiology."
MATH-261,Discrete optimization,5,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/discrete-optimization-MATH-261,Eisenbrand Friedrich,"This course is an introduction to linear and discrete optimization. Warning: This is a mathematics course! While much of the course will be algorithmic in nature, you will still need to be able to prove theorems."
MATH-265,Introduction to optimization and operations research,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/introduction-to-optimization-and-operations-research-MATH-265,Bierlaire Michel,Introduction to major operations research models and optimization algorithms
MATH-251(b),Numerical analysis,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/numerical-analysis-MATH-251-B,Herbst Michael,The students will learn key numerical techniques for solving standard mathematical problems in science and engineering. The underlying mathematical theory and properties are discussed.
CH-401,Advanced nuclear magnetic resonance,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/advanced-nuclear-magnetic-resonance-CH-401,Emsley David Lyndon,Principles of Magnetic Resonance Imaging (MRI) and applications to medical imaging. Principles of modern multi-dimensional NMR in liquids and solids. Structure determination of proteins & materials. Measurement of molecular dynamics. Principles of Hyperpolarization
CH-243,Electrochemistry of solutions,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/electrochemistry-of-solutions-CH-243,Roussel Christophe,"Les étudiants intègrent les notions de potentiels électriques, de niveau de Fermi de l'électron et appliquent l'équation de Nernst. Ils comprennent la structure d'une interface électrifiée. Les générateurs électrochimiques, l'électrolyse et les bases de l'ampérométrie sont présentés"
CH-340,Methods in spectroscopy and dynamics,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/methods-in-spectroscopy-and-dynamics-CH-340,Osterwalder Andreas,"We will review modern technique for the determination of structure and dynamics in chemistry. Recent developments in spectroscopy as well as methods that target the fundamentals of chemical reactions will be discussed, and applications will be studied."
ChE-312,Numerical methods,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/numerical-methods-CHE-312,"Miskovic Ljubisa, Sivula Kevin",This course introduces students to modern computational and mathematical techniques for solving problems in chemistry and chemical engineering. The use of introduced numerical methods will be demonstrated using the python programming language.
CH-335,Asymmetric synthesis and retrosynthesis,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/asymmetric-synthesis-and-retrosynthesis-CH-335,"Gerber Sandrine, Nicolai Stefano",La première partie du cours décrit les méthodes classiques de synthèse asymétrique. La seconde partie du cours traite des stratégies de rétrosynthèse basées sur l'approche par disconnection.
CH-329,Preparative chemistry II,8,https://edu.epfl.ch/studyplan/en/bachelor/chemistry/coursebook/preparative-chemistry-ii-CH-329,"Hu Xile, Severin Kay","Laboratoire de chimie avancée. L'admission au TP est conditionnée à la réussite de 2 des 3 cours suivants : CH-222 Coordination chemistry, CH-223 Organometallic chemistry, CH-233 Fonctions et réactions organiques"
