code,name,ects,link,professor,description
ENG-383,An introduction to the law of architecture : contracts and competition,2,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/an-introduction-to-the-law-of-architecture-contracts-and-competition-ENG-383,"Dubey Jacques, Perritaz Vincent",Ce cours a pour objet l'étude des notions fondamentales en droit public et en droit privé de la construction et entend sensibiliser les étudiant-es à des problèmes concrets liés à l'exercice de la profession d'architecte.
AR-241,Building technology III,5,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/building-technology-iii-AR-241,"Boulic Léa Caroline Célestine, Schueler Andreas, Zurbrügg Peter","Ce cours traite des divers domaines techniques intervenant dans la conception et la réalisation d'un bâtiment, soit : physique du bâtiment, structures, matériaux, construction et installations techniques; ceci dans une approche globale et transversale."
AR-242,Building technology IV,5,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/building-technology-iv-AR-242,"Boulic Léa Caroline Célestine, Schueler Andreas, Zurbrügg Peter","Ce cours traite des divers domaines techniques intervenant dans la conception et la réalisation d'un bâtiment, soit: physique du bâtiment, structures et matériaux, construction et installations techniques; ceci dans une approche globale et transversale."
AR-225,History of architecture III/IV,4,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/history-of-architecture-iii-iv-AR-225,Rachele Cara Paul,"The course investigates the global history of architecture and town planning between the 16th and 19th centuries, its architects and buildings, and highlights the theoretical, artistic and technical issues involved."
AR-226,History of Architecture V/VI,4,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/history-of-architecture-v-vi-AR-226,Thiermann Alfredo,This is a survey course on the history of architecture of the twentieth century.
AR-264,Urban and territorial analysis,4,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/urban-and-territorial-analysis-AR-264,"Pietropolli Tommaso, Viganò Paola",Le cours a pour but de fournir aux étudiants les outils nécessaires pour lire et comprendre la ville et le territoire contemporain.
AR-219,Advanced CAO and Integrated Modeling DIM,2,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/advanced-cao-and-integrated-modeling-dim-AR-219,"Hautecoeur Elise Geneviève, Zufferey Jérôme",1ère année: bases nécessaires à la représentation informatique 2D (3D). Passage d'un à plusieurs logiciels: compétence de choisir les outils adéquats en 2D et en 3D. Mise en relation des outils de CAO et DIM: regard critique et aptitude à choisir les méthodes nécessaires au résultat recherché.
AR-211,Stereotomy,2,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/stereotomy-AR-211,"Duque Mahecha Sebastian, Ferrer Perez-Blanco Ignacio, Parascho Stefana, Zufferey Marie-Pierre","La Stéréotomie est l'art de concevoir et fabriquer des volumes complexes en pierre et des assemblages en bois. Ce cours propose une réinterprétation de la Stéréotomie avec différents outils, une réflexion sur la géométrie, les processus de fabrication, les modes de représentation, de communication."
AR-201(q),Studio BA3 (Assemble),10,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/studio-ba3-assemble-AR-201-Q,"Binning James Donald Morley, Perkins Amy Faith","The work this year will investigate how we can imagine, design and demonstrate the ways in which affordable, low-impact housing on small scale agroecological farms could be built."
AR-201(a),Studio BA3 (Bakker & Blanc A.),10,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/studio-ba3-bakker-blanc-a-AR-201-A,"Bakker Marco, Blanc Alexandre",MANSLAB se concentre sur la question de l`assemblage programmatique et spatial entre des territoires différents afin de provoquer la manufacture d'une densité physique et métaphysique.
AR-201(r),Studio BA3 (Gay et Menzel),10,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/studio-ba3-gay-et-menzel-AR-201-R,"Gay Menzel Catherine Odile, Menzel Götz","The studio focusses on contextual imaginary. Developing narratives, inspired both by the site and by the student's imagination leads to a theme sustaining the project. The narrative helps the student to develop an architectural project in a given context."
AR-201(g),Studio BA3 (Rey),10,https://edu.epfl.ch/studyplan/en/bachelor/architecture/coursebook/studio-ba3-rey-AR-201-G,Rey Emmanuel,Par une approche à différentes échelles d'intervention - du projet urbain au détail constructif - l'atelier vise à explorer les stratégies architecturales permettant de régénérer les territoires urbains à proximité des transports publics dans une optique de transition vers la durabilité.
