code,name,ects,link,professor,description
CH-310,Dynamics and kinetics,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/dynamics-and-kinetics-CH-310,Feldmann Sascha,"The course covers the principles of chemical kinetics, including differential rate laws, derivation of exact and approximate integral rate laws for common elementary and composite reactions, fundamentals of collision and transition state theories, and applications such as enzymatic catalysis."
CH-243,Electrochemistry of solutions,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/electrochemistry-of-solutions-CH-243,Roussel Christophe,"Les étudiants intègrent les notions de potentiels électriques, de niveau de Fermi de l'électron et appliquent l'équation de Nernst. Ils comprennent la structure d'une interface électrifiée. Les générateurs électrochimiques, l'électrolyse et les bases de l'ampérométrie sont présentés"
CH-349,Experimental physical chemistry,4,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/experimental-physical-chemistry-CH-349,Emsley David Lyndon,Experiments related to physical chemistry courses.
CH-315,Modeling lab,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/modeling-lab-CH-315,Smit Berend,"In this course we give a hands-on introduction on the use of modeling and data in chemistry. After an introduction in the different tools used by computational chemists, we discuss three topics in more detail molecular simulation of adsorption, data in chemistry, and machine learning."
CH-314,Structural analysis,4,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/structural-analysis-CH-314,"Bostedt Christoph, Boyarkine Oleg, Emsley David Lyndon","The aim of this course is to treat three of the major techniques for structural characterization of molecules used in chemistry and chemical engineering: mass spectrometry, NMR, and X-ray techniques."
ChE-311,Biochemical engineering,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/biochemical-engineering-CHE-311,"Crelier Simon, Zinn Manfred","This course introduces the basic principles of bioprocess engineering and highlights the similarities and differences with chemical engineering. Without going into the fundamentals, it proposes an overview of the techniques for fermentation as well as product purification (DownStream Processing)"
ChE-320,Bioreactor modeling and simulation,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/bioreactor-modeling-and-simulation-CHE-320,Hatzimanikatis Vassily,"The course of Bioreactor modeling and simulation focuses on the principles of algorithmic design and analysis of biochemical reactors. The application of these designed reactors would be in the production line of the of pharmaceutical, biotech and chemical industries."
ChE-330,Fluid mechanics and transport phenomena,4,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/fluid-mechanics-and-transport-phenomena-CHE-330,Sivula Kevin,"The concept of Shell balances, the Navier-Stokes equations and generalized differential balances equations for heat and mass transport are derived. These relations are applied to model systems. Integral balances are introduced in the context of boundary layers and transfer coefficients."
ChE-310,Fundamentals of separation processes,4,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/fundamentals-of-separation-processes-CHE-310,Agrawal Kumar Varoon,"The course will cover fundamentals concepts of separation processes involving chemical equilibrium and mass transfer. Students will design separation processes widely used in the industry, for the separation of liquid mixtures, gas-liquid mixtures, and gas mixtures."
ChE-312,Numerical methods,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/numerical-methods-CHE-312,"Miskovic Ljubisa, Sivula Kevin",This course introduces students to modern computational and mathematical techniques for solving problems in chemistry and chemical engineering. The use of introduced numerical methods will be demonstrated using the python programming language.
ChE-309,Chemical engineering practice,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/chemical-engineering-practice-CHE-309,Queen Wendy Lee,"Ce cours fournit aux étudiants l'expérience pratique avec les ""opérations unitaires"" simples basées sur le transfert de chaleur et de masse. Les étudiants développent la capacité d'augmenter l'échelle des résultats de laboratoire dans la conception de composants de taille industrielle."
ME-323,Chemical process control,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/chemical-process-control-ME-323,Miskovic Ljubisa,Provide the students with basic notions and tools for the modeling and analysis of dynamic systems. Show them how to design controllers and analyze the performance of controlled systems.
ChE-304,Energy systems engineering,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/energy-systems-engineering-CHE-304,Luterbacher Jeremy,"This course will provide a toolkit to students to understand and analyze sustainable energy systems. In addition, the main sustainable energy technologies will be introduced and their governing principles explained."
CH-334,Opération unitaire et technologie des procédés,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/operation-unitaire-et-technologie-des-procedes-CH-334,Meyer Thierry,"L'étudiant sera capable de : - Définir et décrire les principales OpUnit. - Elaborer l'analyse critique d'une OpUnit, optimiser son fonctionnement selon les contraintes. - Emettre des recommandations d'amélioration, en tenant compte de la technique de l'économie et du développement durable."
ChE-340,The engineering of chemical reactions,4,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/the-engineering-of-chemical-reactions-CHE-340,Chappuis Thierry,"Ce cours applique les concepts de la cinétique chimique et des bilans de masse et d'énergie pour résoudre les problèmes de génie des réactions chimiques, en mettant l'accent sur les applications industrielles. Les étudiants développent leur capacité d'analyser et de concevoir des réacteurs chimiques"
MSE-210,Functional properties of materials,2,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/functional-properties-of-materials-MSE-210,Piazza Valerio,"Ce cours a comme objectif de présenter les concepts nécessaires à la compréhension des principes fondamentaux qui permettent de prédire les propriétés d'un matériau. Ces concepts vous permettront de réaliser du ""material design"" et de comprendre même des nouveaux matériaux pas encore étudiés."
MSE-362,Polymer science,3,https://edu.epfl.ch/studyplan/en/bachelor/chemical-engineering/coursebook/polymer-science-MSE-362,Görl Daniel,"Introduction à la physique des polymères et aux liens entre structures chimiques et propriétés macroscopiques, avec accent sur la morphologie et le comportement thermomécanique. Méthodes de mise en œuvre, fournissant les bases nécessaires à la sélection des polymères dans un contexte industriel."
