code,name,ects,link,professor,description
MICRO-632,Advanced micro-/nano- manufacturing,2,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/advanced-micro-nano-manufacturing-MICRO-632,,Every year
ENG-606(a),Design of experiments (a) - Fall semester,4,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/design-of-experiments-a-fall-semester-ENG-606-A,Fuerbringer Jean-Marie,The course teaches the acquisition of a methodology of designing experiments for optimal quality of the results and of the number of experiments.
MICRO-631,Selected topics in advanced manufacturing,4,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/selected-topics-in-advanced-manufacturing-MICRO-631,,Every year
MSE-666,Additive Manufacturing of Metals and Alloys,2,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/additive-manufacturing-of-metals-and-alloys-MSE-666,"Leinenbach Christian, Logé Roland",Every 2 years
PHYS-632,Fusion and industrial plasma technologies,4,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/fusion-and-industrial-plasma-technologies-PHYS-632,"Alberti Stefano, Decker Joan, Hogge Jean-Philippe, Howling Alan, Hursin Mathieu, Martin Yves, Sedlák Kamil, Siravo Ugo",Every 2 years
MSE-662,Laser Materials Processing,2,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/laser-materials-processing-MSE-662,"Hoffmann Patrik Willi, Leinenbach Christian",Every 2 years
MGT-602,Mathematical models in supply chain management,4,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/mathematical-models-in-supply-chain-management-MGT-602,Seifert Ralf,Every 2 years
PHYS-609,Modern photovoltaic technologies,2,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/modern-photovoltaic-technologies-PHYS-609,"Haug Franz-Josef, Heier Jakob, Romanyuk Yaroslav",Every year
MICRO-621,MOOC: Micro and Nanofabrication (MEMS),1,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/mooc-micro-and-nanofabrication-mems-MICRO-621,"Brugger Jürgen, Gijs Martinus",Every year
MSE-619,Nanofabrication with focused electron and ion beams,2,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/nanofabrication-with-focused-electron-and-ion-beams-MSE-619,"Hoffmann Patrik Willi, Utke Ivo",Every 2 years
EE-625(a),Research seminars in Electrical Engineering - FALL,1,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/research-seminars-in-electrical-engineering-fall-EE-625-A,"Choo Kyojin, Yee Wei Liang Daryl",Every year
EE-625(b),Research seminars in Electrical Engineering - SPRING,1,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/research-seminars-in-electrical-engineering-spring-EE-625-B,"Choo Kyojin, Yee Wei Liang Daryl",Every year
MICRO-606,Scaling in MEMS,1,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/scaling-in-mems-MICRO-606,Shea Herbert,Every 2 years
MSE-636(a),Scanning electron microscopy techniques (a),1,https://edu.epfl.ch/studyplan/en/doctoral_school/advanced-manufacturing/coursebook/scanning-electron-microscopy-techniques-a-MSE-636-A,"Cantoni Marco, Navratilova Lucie, Oveisi Emadeddin",Every year
