code,name,ects,link,professor,description
MATH-498,Mathematics projects (master),10,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/mathematics-projects-master-MATH-498,Profs divers *,L'étudiant applique les compétences acquises dans un projet de recherche théorique ou appliqué.
MATH-416,Abstract analysis on groups,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/abstract-analysis-on-groups-MATH-416,Monod Nicolas,"We study analytic phenomena on groups, notably paradoxical decompositions, fixed point properties and harmonic functions."
MATH-521,Advanced analytic number theory,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/advanced-analytic-number-theory-MATH-521,,We will present the work of James Maynard (MF 2022) on the existence of bounded gaps between primes
MATH-535,Algebraic geometry III - selected topics,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/algebraic-geometry-iii-selected-topics-MATH-535,Schlegel Mejia Sebastian,"This course is an introduction to the theory of algebraic curves and surfaces. An important aim of the course is to develop geometric intuition while using the language of schemes developed in the basic algebraic geometry course, thus building a solid foundation for further study."
MATH-510,Algebraic geometry II - schemes and sheaves,10,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/algebraic-geometry-ii-schemes-and-sheaves-MATH-510,"Filipazzi Stefano, Mukhopadhyay Alapan",The aim of this course is to learn the basics of the modern scheme theoretic language of algebraic geometry.
MATH-493,Applied biostatistics,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/applied-biostatistics-MATH-493,Goldstein Darlene,"This course covers topics in applied biostatistics, with an emphasis on practical aspects of data analysis using R statistical software. Topics include types of studies and their design and analysis, high dimensional data analysis (genetic/genomic) and other topics as time and interest permit."
MATH-516,Applied statistics,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/applied-statistics-MATH-516,Mhalla Ep Marchand Linda,"The course will provide an overview of everyday challenges in applied statistics through case studies. Students will learn how to use core statistical methods and their extensions, and will use computational and problem-solving tools to provide reproducible solutions for the problems presented."
MATH-449,Biostatistics,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/biostatistics-MATH-449,Stensrud Mats Julius,"This course covers statistical methods that are widely used in medicine and biology. A key topic is the analysis of longitudinal data: that is, methods to evaluate exposures, effects and outcomes that are functions of time. While motivated by real-life problems, some of the material will be abstract"
MATH-437,Calculus of variations,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/calculus-of-variations-MATH-437,Michelat Alexis Paul Benjamin,"Introduction to classical Calculus of Variations and a selection of modern techniques. The Calculus of Variations aims at showing the existence of minimisers (or critical points) of functionals that naturally appear in mathematics and physics (Dirichlet energy, p-energy, etc)."
MATH-473,Complex manifolds,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/complex-manifolds-MATH-473,,The goal of this course is to help students learn the basic theory of complex manifolds and Hodge theory.
MATH-496,Computational linear algebra,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/computational-linear-algebra-MATH-496,,This is an introductory course to the concentration of measure phenomenon - random functions that depend on many random variables tend to be often close to constant functions.
MATH-453,Computational linear algebra,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/computational-linear-algebra-MATH-453,Kressner Daniel,"This course provides an overview of advanced techniques for solving large-scale linear algebra problems, as they typically arise in applications. A central goal of this course is to give the ability to choose a suitable solver for a given application."
MATH-530,Differential geometry IV - general relativity,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/differential-geometry-iv-general-relativity-MATH-530,Moschidis Georgios,"This course will serve as a basic introduction to the mathematical theory of general relativity. We will cover topics including the formalism of Lorentzian geometry, the formulation of the initial value problem for the Einstein equations and applications on the global structure of the spacetime."
MATH-540,Diophantine approximation,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/diophantine-approximation-MATH-540,,"The main theme in Diopahntine approximation is to approximate a real number by a rational number with a certain denominator bound. The course covers the case of one real number, that is classical and well understood, and proceeds to simultaneous Diophantine approximations."
MATH-478,Dispersive PDEs,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/dispersive-pdes-MATH-478,Krieger Joachim,"This course will give an introduction to some aspects of nonlinear dispersive partial differential equations. These are time evolution problems that arise in many contexts in physics, such as quantum mechanics, electrodynamics, fluid motion and relativity."
MATH-502,Distribution and interpolation spaces,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/distribution-and-interpolation-spaces-MATH-502,Michelat Alexis Paul Benjamin,The goal of this course is to give an introduction to the theory of distributions and cover the fundamental results of Sobolev spaces including fractional spaces that appear in the interpolation theory. Those notions are central to the study of partial differential equations (PDE).
MATH-522,Empirical processes,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/empirical-processes-MATH-522,Limnios Myrto,"From prototypical examples of estimators used by statisticians, to more complex nonparametric models, methods and theorems will be taught to study their (non)asymptotic behavior, when defined as mappings depending on an empirical measure based on a sample of random observations."
MATH-518,Ergodic theory,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/ergodic-theory-MATH-518,Richter Florian Karl,"This is an introductory course in ergodic theory, providing a comprehensive overlook over the main aspects and applications of this field."
MATH-500,Error control in scientific modelling,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/error-control-in-scientific-modelling-MATH-500,Herbst Michael,"Errors are ubiquitous in computational science as neither models nor numerical techniques are perfect. With respect to eigenvalue problems motivated from materials science and atomistic modelling we discuss, implement and apply numerical techniques for estimating simulation error."
CS-459,Foundations of probabilistic proofs,6,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/foundations-of-probabilistic-proofs-CS-459,Chiesa Alessandro,"Probabilistic proof systems (eg PCPs and IPs) have had a tremendous impact on theoretical computer science, as well as on real-world secure systems. They underlie delegation of computation protocols and hardness of approximation. This course covers the foundations of probabilistic proof systems."
MATH-426,Gaussian processes,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/gaussian-processes-MATH-426,,-
MATH-483,Gödel and recursivity,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/godel-and-recursivity-MATH-483,Duparc Jacques,Gödel incompleteness theorems and mathematical foundations of computer science
MATH-405,Harmonic analysis,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/harmonic-analysis-MATH-405,,"An introduction to methods of harmonic analysis. Covers convergence of Fourier series, Hilbert transform, Calderon-Zygmund theory, Fourier restriction, and applications to PDE."
MATH-436,Homotopical algebra,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/homotopical-algebra-MATH-436,,"This course will provide an introduction to model category theory, which is an abstract framework for generalizing homotopy theory beyond topological spaces and continuous maps. We will study numerous examples of model categories and their applications in algebra and topology."
MATH-505,HPC for numerical methods and data analysis,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/hpc-for-numerical-methods-and-data-analysis-MATH-505,Grigori Laura,The objective of this course is to provide the necessary background for designing efficient parallel algorithms in scientific computing as well as in the analysis of large volumes of data. The operations considered are the most costly steps at the heart of many complex numerical simulations.
MATH-504,Integer optimisation,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/integer-optimisation-MATH-504,,The course aims to introduce the basic concepts and results of integer optimization with special emphasis on algorithmic problems on lattices that have proved to be important in theoretical computer science and cryptography during the past 30 years.
MATH-523,Introduction to dynamical systems,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/introduction-to-dynamical-systems-MATH-523,Krieger Joachim,"An introduction to some key concepts and theorems from dynamical systems, including discrete dynamical systems as well as flows."
MATH-422,Introduction to riemannian geometry,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/introduction-to-riemannian-geometry-MATH-422,,La géométrie riemannienne est un (peut-être le) chapitre central de la géométrie différentielle et de la géométriec ontemporaine en général. Le sujet est très riche et ce cours est une modeste introduction aux bases du sujet.
MATH-485,Introduction to stochastic PDEs,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/introduction-to-stochastic-pdes-MATH-485,Hairer Martin,"Stochastic PDEs are used to model systems that are spatially extended and include a random component. This course gives an introduction to this topic, including some general measure theory, some Gaussian measure theory and some linear semigroup theory."
MATH-434,Lattice models,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/lattice-models-MATH-434,Hongler Clément,Lattice models consist of (typically random) objects living on a periodic graph. We will study some models that are mathematically interesting and representative of physical phenomena seen in the real world.
MATH-479,Linear algebraic groups,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/linear-algebraic-groups-MATH-479,,The aim of the course is to give an introduction to linear algebraic groups and to give an insight into a beautiful subject that combines algebraic geometry with group theory.
MATH-470,Martingales in financial mathematics,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/martingales-in-financial-mathematics-MATH-470,Schmutz Michael,"The aim of the course is to apply the theory of martingales in the context of mathematical finance. The course provides a detailed study of the mathematical ideas that are used in modern financial mathematics. Moreover, the concepts of complete and incomplete markets are discussed."
MATH-463,Mathematical modelling of behavior,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/mathematical-modelling-of-behavior-MATH-463,Bierlaire Michel,"Discrete choice models allow for the analysis and prediction of individuals' choice behavior. The objective of the course is to introduce both methodological and applied aspects, in the field of marketing, transportation, and finance."
MATH-513,Metric embeddings,5,https://edu.epfl.ch/studyplan/en/master/applied-mathematics/coursebook/metric-embeddings-MATH-513,,"The course aims to introduce the basic concepts and results on metric embeddings, or more precisely on approximate embeddings. This area has been under rapid development since the 90's and it has strong impact on algorithms for discrete optimization problems."
