code,name,ects,link,professor,description
EE-518,Analog circuits for biochip,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/analog-circuits-for-biochip-EE-518,"Carrara Sandro, Schmid Alexandre, Skrivervik Anja",Introduction to analog CMOS design for Remote Biosensors on Chip. Understanding and designing of active and remotely powered biosensing systems. Basic understanding of the wireless transmission of the obtained signals.
EE-512,Applied biomedical signal processing,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/applied-biomedical-signal-processing-EE-512,Lemay Mathieu,"The goal of this course is twofold: (1) to introduce physiological basis, signal acquisition solutions (sensors) and state-of-the-art signal processing techniques, and (2) to propose concrete examples of applications for vital sign monitoring and diagnosis purposes."
BIOENG-421,Basics in bioinstrumentation,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/basics-in-bioinstrumentation-BIOENG-421,Merten Christoph,"This combined practical and theoretical course will provide the basics in bioinstrumentation, including the construction of a droplet-microfluidic workstation for high-throughput, single-cell analysis. Many of the learned concepts are equally applicable to other widely used lab instruments."
EE-519,Bioelectronics and biomedical microelectronics,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/bioelectronics-and-biomedical-microelectronics-EE-519,Schmid Alexandre,"The course covers the fundaments of bioelectronics and integrated microelectronics for biomedical and implantable systems. Issues and trade-offs at the circuit and systems levels of invasive microelectronic systems as well as their eluding designs, methods and classical implementations are discussed"
BIO-410,Bioimage informatics,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/bioimage-informatics-BIO-410,"Sage Daniel, Seitz Arne","The course provides a comprehensive overview of methods, algorithms, and computer tools used in bioimage analysis. It exposes fundamental concepts and practical computer solutions to extract quantitative information from multidimensional images, both using engineering methods and deep learning."
ME-481,Biomechanics of the cardiovascular system,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/biomechanics-of-the-cardiovascular-system-ME-481,Stergiopulos Nikolaos,"This lecture will cover anatomy and physiology of the cardiovascular system, biophysics of the blood, cardiac mechanics, hemodynamics and biomechanics of the arterial system, microcirculation and biomechanics of the venous system."
ME-482,Biomechanics of the musculoskeletal system,5,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/biomechanics-of-the-musculoskeletal-system-ME-482,Pioletti Dominique,"The basis for a mechanical description of the musculoskeletal system are presented. This description is based on the concepts of solid mechanics, physiology and anatomy of the musculoskeletal system. Concrete examples of the development of implants are also covered."
BIOENG-445,Biomedical optics,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/biomedical-optics-BIOENG-445,Wagnières Georges,"This course addresses the principles governing the interactions between light and biological tissue, their optical properties and basic concepts of radiometry. Illustrative diagnostic and therapeutic applications of light in medicine and photobiology will also be described."
MICRO-561,Biomicroscopy I,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/biomicroscopy-i-MICRO-561,Altug Hatice,"Introduction to geometrical and wave optics for understanding the principles of optical microscopes, their advantages and limitations. Describing the basic microscopy components and the commonly used biomicrocopy methods such as widefield and fluorescence."
MICRO-562,Biomicroscopy II,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/biomicroscopy-ii-MICRO-562,"Altug Hatice, Seitz Arne",Introduction to the different contrast enhancing methods in optical microscopy. Basic hands-on experience with optical microscopes at EPFL's BioImaging and Optics Facility. How to investigate biological samples? How to obtain high quality images?
EE-517,Bio-nano-chip design,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/bio-nano-chip-design-EE-517,Carrara Sandro,Introduction to heterogeneous integration for Nano-Bio-CMOS sensors on Chip. Understanding and designing of active Bio/CMOS interfaces powered by nanostructures.
PHYS-302,Biophysics : physics of biological systems,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/biophysics-physics-of-biological-systems-PHYS-302,Rahi Sahand Jamal,"Understand and use the results and methods of population genetics, population dynamics, network theory, and reaction network dynamics to analyze and predict the behavior of living systems"
PHYS-301,Biophysics : physics of the cell,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/biophysics-physics-of-the-cell-PHYS-301,Manley Suliana,"In this course we will study the cell (minimum unit of life) and its components. We will study several key cellular features: Membranes, genomes, channels and receptors. We will apply the laws of physics to develop models to make quantitative and predictive statements."
BIO-105,Cellular biology and biochemistry for engineers,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/cellular-biology-and-biochemistry-for-engineers-BIO-105,Zufferey Romain,Basic course in biochemistry as well as cellular and molecular biology for non-life science students enrolling at the Master or PhD thesis level from various engineering disciplines. It reviews essential notions necessary for a training in biology-related engineering fields.
NX-465,Computational neurosciences: neuronal dynamics,5,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/computational-neurosciences-neuronal-dynamics-NX-465,Gerstner Wulfram,In this course we study mathematical models of neurons and neuronal networks in the context of biology and establish links to models of cognition. The focus is on brain dynamics approximated by deterministic or stochastic differential equations.
PHYS-438,Fundamentals of biomedical imaging,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/fundamentals-of-biomedical-imaging-PHYS-438,Gruetter Rolf,"The goal of this course is to illustrate how modern principles of basic science approaches are integrated into the major biomedical imaging modalities of importance to biology and medicine, with an emphasis on those of interest to in vivo."
BIO-443,Fundamentals of biophotonics,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/fundamentals-of-biophotonics-BIO-443,Radenovic Aleksandra,This module serves as an introduction to the area of biophotonics. The approach is multidisciplinary .The course is mainly knowledge-based but students will benefit from the skills learned by carrying out problem solving and by completing the assignment.
EE-515,Fundamentals of biosensors and electronic biochips,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/fundamentals-of-biosensors-and-electronic-biochips-EE-515,Guiducci Carlotta,"The labels ""biosensor"" and ""eBiochip"" have been employed to refer to the most diverse systems and in several fields of application. The course is meant not only to provide means to dig into this sea but also a thoughtful understanding of the detection principles and a design perspective."
MICRO-390,"Light, liquids and interfaces",4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/light-liquids-and-interfaces-MICRO-390,Roke Sylvie,"This course provides an overview of relevant interactions in liquids, combining thermodynamics, statistical physics and pair potetnials. Water and aqueos systm,es will be considered in detail. Optical techniques to investigate liquid and liquid interfacial structure will treated."
ME-480,Mechanobiology: how mechanics regulate life,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/mechanobiology-how-mechanics-regulate-life-ME-480,"Persat Alexandre Louis André, Sakar Mahmut Selman","The objective of this course is to expose students to the fundamentals of mechanobiology. We will highlight the technologies that enable the study of living systems including mechanical manipulation and characterization, along with computational modeling frameworks."
MICRO-331,Microfabrication technologies,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/microfabrication-technologies-MICRO-331,Brugger Jürgen,"The student will learn process techniques and applications of modern micro- and nanofabrication, as practiced in a clean room, with a focus on silicon, but also multi-material microsystems and flexible/stretchable systems technologies."
PHYS-473,MRI Practicals on CIBM preclinical imaging systems,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/mri-practicals-on-cibm-preclinical-imaging-systems-PHYS-473,"Cudalbu Cristina Ramona, Lanz Bernard",The goal of this course is to teach students how to perform basic MRI and MRS experiments in-vivo and ex-vivo directly on preclinical horizontal ultra-high field MRI systems.
CH-413,Nanobiotechnology,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/nanobiotechnology-CH-413,Steinauer Angela,"This course concerns modern bioanalytical techniques to investigate biomolecules both in vitro and in vivo, including recent methods to image, track and manipulate single molecules. We cover the basic principles of the respective methods and discuss examples from the current scientific literature."
NX-422,Neural interfaces,6,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/neural-interfaces-NX-422,"Lacour Stéphanie, Shoaran Mahsa","Neural interfaces (NI) are bioelectronic systems that interface the nervous system to digital technologies. This course presents their main building blocks (transducers, instrumentation & communication), reviews current and upcoming materials and technological solutions for implantable & wearable NI"
NX-421,Neural signals and signal processing,6,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/neural-signals-and-signal-processing-NX-421,"Micera Silvestro, Van De Ville Dimitri Nestor Alice","Understanding, processing, and analysis of signals and images obtained from the central and peripheral nervous system"
BIO-482,Neuroscience: cellular and circuit mechanisms,5,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/neuroscience-cellular-and-circuit-mechanisms-BIO-482,"Crochet Sylvain, Petersen Carl",This course focuses on the biophysical mechanisms of mammalian brain function. We will describe how neurons communicate through synaptic transmission in order to process sensory information ultimately leading to motor behavior.
BIO-491,New tools & research strategies in personalized health,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/new-tools-research-strategies-in-personalized-health-BIO-491,"Friedli Marc Samuel, Trono Didier","We will define the concept of personalized health, describe the underlying technologies, the technological, legal and ethical challenges that the field faces today, and how they are being met."
ME-484,Numerical methods in biomechanics,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/numerical-methods-in-biomechanics-ME-484,Terrier Alexandre,"Students understand and apply numerical methods (FEM) to answer a research question in biomechanics. They know how to develop, verify and validate multi-physics and multi-scale numerical models. They can analyse and comment results in an oral presentation and a written report."
MICRO-321(a),Optical engineering (for MT),6,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/optical-engineering-for-mt-MICRO-321-A,"Achouri Karim, Martin Olivier","Ce cours présente différentes facettes de l'optique moderne et met à la fois l'accent sur des bases rigoureuses et des applications pratiques. Le cours inclut une partie théorique avec un cours et des exercices, ainsi qu'une partie expérimentale avec des travaux pratiques."
BIO-377,Physiology by systems,4,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/physiology-by-systems-BIO-377,Roy Sylvain,"Le but est de connaitre et comprendre le fonctionnement des systèmes cardiovasculaire, urinaire, respiratoire, digestif, ainsi que du métabolisme de base et sa régulation afin de déveloper une réflection scientifique biomédicale."
MICRO-563,Project in biomedical technologies,8,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/project-in-biomedical-technologies-MICRO-563,Profs divers *,The student applies the acquired skills to an academic or industrial project.
NX-451,"Regulatory, quality and clinical affairs",2,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/regulatory-quality-and-clinical-affairs-NX-451,Rochat Kim Julien,"This regulatory, quality and clinical module aims at providing with the necessary tools and competences to apprehend the European regulatory framework for developing, validating and placing a medical device on the market, it defines the activities to be undertaken to comply with the applicable rules"
MICRO-568,Seminar in physiology and instrumentation,2,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/seminar-in-physiology-and-instrumentation-MICRO-568,Radenovic Aleksandra,Acquérir la connaissance de l'état de l'art dans l'instrumentation bio-médicale. Comprendre la physiologie associée aux techniques de mesures.
EE-511,Sensors in medical instrumentation,3,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/sensors-in-medical-instrumentation-EE-511,"Chételat Olivier Pierre, Ionescu Anisoara","Fundamental principles and methods used for physiological signal conditioning. Electrode, optical, resistive, capacitive, inductive, and piezoelectric sensor techniques used to detect and convert physiological information to electrical signals. Medical devices for physiological signal monitoring."
NX-423,Translational neuroengineering,6,https://edu.epfl.ch/studyplan/en/minor/biomedical-technologies-minor/coursebook/translational-neuroengineering-NX-423,"Blanke Olaf, Courtine Grégoire, Hummel Friedhelm Christoph, Micera Silvestro","This course integrates knowledge in basic, systems, clinical and computational neuroscience, and engineering with the goal of translating this integrated knowledge into the development of novel methods, technology for the clinical application for patients suffering from neuropsychiatric disorders."
ChE-311,Biochemical engineering,3,https://edu.epfl.ch/studyplan/en/minor/biotechnology-minor/coursebook/biochemical-engineering-CHE-311,"Crelier Simon, Zinn Manfred","This course introduces the basic principles of bioprocess engineering and highlights the similarities and differences with chemical engineering. Without going into the fundamentals, it proposes an overview of the techniques for fermentation as well as product purification (DownStream Processing)"
BIO-410,Bioimage informatics,4,https://edu.epfl.ch/studyplan/en/minor/biotechnology-minor/coursebook/bioimage-informatics-BIO-410,"Sage Daniel, Seitz Arne","The course provides a comprehensive overview of methods, algorithms, and computer tools used in bioimage analysis. It exposes fundamental concepts and practical computer solutions to extract quantitative information from multidimensional images, both using engineering methods and deep learning."
ChE-437,Bioprocesses and downstream processing,4,https://edu.epfl.ch/studyplan/en/minor/biotechnology-minor/coursebook/bioprocesses-and-downstream-processing-CHE-437,"Crelier Simon, Eyer Kurt, Zinn Manfred","This course aims at a more advanced coverage of the basic aspects discussed in module ChE-311. It is however of a stand-alone nature, and even students who have little knowledge on - but a keen interest in - (bio)process engineering shall benefit as well from this module."
ChE-320,Bioreactor modeling and simulation,3,https://edu.epfl.ch/studyplan/en/minor/biotechnology-minor/coursebook/bioreactor-modeling-and-simulation-CHE-320,Hatzimanikatis Vassily,"The course of Bioreactor modeling and simulation focuses on the principles of algorithmic design and analysis of biochemical reactors. The application of these designed reactors would be in the production line of the of pharmaceutical, biotech and chemical industries."
