code,name,ects,link,professor,description
AR-129,Architectural Tomography,4,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/architectural-tomography-AR-129,"Derlet Maxence Denis, Taillieu Jo François","Cet enseignement situe le dessin technique comme outil d'enquête spatiale, constructive et contextuelle. Il introduit la coupe itérative comme outil sociotechnique de l'architecte permettant de mesurer, comprendre et interpréter des situations construites."
AR-114,Digital models,2,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/digital-models-AR-114,Mignon Agathe Claire Estelle,Le cours de Modélisation Numérique consiste à apprendre et à manipuler les fonctions de base du logiciel de conception assistée Rhinoceros 3D grâce à l'élaboration d'un modèle simple ainsi qu'à en exploiter les capacités de rendu graphique.
MATH-124,Geometry for architects I,3,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/geometry-for-architects-i-MATH-124,Ismail Ahmed Wael Kamaleldin Saleh,"Ce cours entend exposer les fondements de la géométrie à un triple titre : 1/ de technique mathématique essentielle au processus de conception du projet, 2/ d'objet privilégié des logiciels de conception paramétrique 3/ de composante à part entière de l'histoire de la culture architecturale."
MATH-189,Mathematics,5,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/mathematics-MATH-189,Chabloz Philippe,Ce cours a pour but de donner les fondements de mathématiques nécessaires à l'architecte contemporain évoluant dans une école polytechnique.
PHYS-118,Building physics,6,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/building-physics-PHYS-118,Schueler Andreas,Ce cours traite des principaux phénomènes physiques observables dans le bâtiment et doit permettre à l'étudiant d'acquérir des connaissances de base dans le domaine de la physique du bâtiment.
AR-128,"Building technology I, II",5,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/building-technology-i-ii-AR-128,"Fivet Corentin Jean Dominique, Zurbrügg Peter","Introduction à la technologie du bâti: défis environnementaux et sociétaux, exigences techniques et fonctionnelles du bâtiment dans la durée, équilibre statique des ossatures, matériaux de construction, détails d'assemblage et mise en oeuvre, stratégies de durabilité et économie circulaire"
MATH-126,Geometry for architects II,3,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/geometry-for-architects-ii-MATH-126,Ismail Ahmed Wael Kamaleldin Saleh,"Ce cours traite des 3 sujets suivants : la perspective, la géométrie descriptive, et une initiation à la géométrie projective."
AR-119,Art fundaments,4,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/art-fundaments-AR-119,Rochat Anne,"Art fundaments a pour objectif d'introduire la performance, son histoire, ses enjeux et certaines de ses techniques afin de développer une conscience essentielle du corps dans l'espace."
AR-154,Environmental history and theories I,2,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/environmental-history-and-theories-i-AR-154,Marot Sébastien Jacques Marie,"Le cours vise a  familiariser les etudiants avec l'histoire de l'environnement et des paysages, et avec la maniere dont les preoccupations environnementales amenent a  repenser aujourd'hui le sens et les principes de l'architecture et des disciplines de projet."
AR-155,Environmental history and theories II,2,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/environmental-history-and-theories-ii-AR-155,Marot Sébastien Jacques Marie,"Le cours vise a familiariser les etudiants avec l'histoire de l'environnement et des paysages, et avec la maniere dont les preoccupations environnementales amenent a repenser aujourd'hui le sens et les principes de l'architecture et des disciplines de projet."
AR-113,Graphic figuration,4,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/graphic-figuration-AR-113,Braghieri Nicola,"Formation au dessin d'architecture à travers ses diverses procédures et codes graphiques, avec le crayon et le papier comme bases."
AR-123,"History of Architecture I,II",4,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/history-of-architecture-i-ii-AR-123,Thiermann Alfredo,This course critically interrogates the connection of modern architecture with its hypothetical origins by setting it alongside new accounts of the dawn of humanity.
AR-101,Studio BA1,7,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/studio-ba1-AR-101,Seewang Margaret Laila,"Le cours vise à l'acquisition des outils essentiels au projet et à une compréhension de l'architecture comme savoir-faire, pensée, et attitude qui interroge l'inscription des êtres vivants dans leur environnement par la conception de l'espace."
AR-102,Studio BA2,7,https://edu.epfl.ch/studyplan/en/propedeutics/architecture/coursebook/studio-ba2-AR-102,Dietz Dieter,"La première année d'architecture vise à l'acquisition des outils essentiels au projet et à une compréhension de l'architecture comme savoir-faire, pensée, et attitude qui interroge l'inscription des êtres vivants dans leur environnement sous l'angle de la conception de l'espace."
