code,name,ects,link,professor,description
CH-301,Analytical separation methods,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/analytical-separation-methods-CH-301,Roussel Christophe,Les étudiants comprennent les bases physico-chimiques des méthodes de séparation chromatographiques et électrophorétiques.
CH-221,Chemistry of elements s and p,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/chemistry-of-elements-s-and-p-CH-221,Severin Kay,Introduction to the chemistry of the s & p elements of the periodic table.
CH-222,Coordination chemistry,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/coordination-chemistry-CH-222,Queen Wendy Lee,Fundamental knowledge of coordination compounds.
CH-309,Experimental analytical chemistry,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/experimental-analytical-chemistry-CH-309,Roussel Christophe,"Les travaux pratiques ont pour but de familiariser les étudiants aux principes qualitatifs et quantitatifs de la chimie analytique. Ces travaux pratiques sont une illustration du cours ""méthodes de séparation analytiques"". Le contenu des TPs dépendent du nombre d'étudiants accueillis."
CH-230,Organic chemistry laboratory Work,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/organic-chemistry-laboratory-work-CH-230,"Marendaz Jean-Luc, Zhu Jieping","Méthodes de purification (distillation, cristallisation, chromatographie), synthèse organique simple: bromation, réduction, acylation, imine, nitration, Grignard, Reformatsky Acquisition des connaissances sur les dangers des chimiques et comment se protéger. Connaître les obligations légales."
CH-233,Organic functions and reactions I,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/organic-functions-and-reactions-i-CH-233,Zhu Jieping,"Le cours se focalisera sur les composés carbonyles: leur structures, réactivités, et leurs transformations; la réactivité des énols/énolates et leurs réactions fondamentales. L'importance de la compréhension des mécanismes réactionnels, de la chimio-, regio- and stéréo-sélectivité sera soulignée."
CH-223,Organometallic chemistry,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/organometallic-chemistry-CH-223,Mazzanti Marinella,"Basic organometallic chemistry will be covered in this course. 1. Structure and bonding in organometallic compounds. 2. reactivity of organometallic compounds, stoichiometric reactions, catalyzed reactions and reaction mechanisms."
PHYS-201(e),General physics: electromagnetism,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/general-physics-electromagnetism-PHYS-201-E,Scarlino Pasquale,Introduction to electromagnetism.
CH-250,Mathematical methods in chemistry,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/mathematical-methods-in-chemistry-CH-250,Vanicek Jiri,This course consists of two parts. The first part covers basic concepts of molecular symmetry and the application of group theory to describe it. The second part introduces Laplace transforms and Fourier series and their use for solving ordinary and partial differential equations in chemistry & c.e.
CH-200,Practical programming in Chemistry,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/practical-programming-in-chemistry-CH-200,Schwaller Philippe,"This course offers a comprehensive, practical introduction to computer programming tailored for chemists and chemical engineers. Python is the main language used throughout the course."
CH-244,Quantum chemistry,6,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/quantum-chemistry-CH-244,Drabbels Marcel,Introduction to Quantum Mechanics with examples related to chemistry
CH-343,Spectroscopy,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/spectroscopy-CH-343,Drabbels Marcel,Introduction into optical spectroscopy of molecules
CH-242(b),Statistical mechanics for chemistry,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/statistical-mechanics-for-chemistry-CH-242-B,Kavokine Nikita,Ce cours construit la base théorique universelle permettant de comprendre les systèmes à grand nombre de particules. Les méthodes introduites sont utilisées pour éclairer de nombreux phénomènes à travers la chimie.
CH-210,Biochemistry,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/biochemistry-CH-210,Heinis Christian,"Les constituants biochimiques de l'organisme, protéines, glucides, lipides, à la lumière de l'évolution des concepts et des progrès en biologie moléculaire et génétique, sont étudiés."
ChE-201,Introduction to chemical engineering,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/introduction-to-chemical-engineering-CHE-201,Hatzimanikatis Vassily,Introduction to Chemical Engineering is an introductory course that provides a basic overview of the chemical engineering field. It addresses the formulation and solution of material and energy balances by using the physical/chemical properties of materials.
ChE-203,Introduction to chemical engineering Laboratory Works,2,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/introduction-to-chemical-engineering-laboratory-works-CHE-203,Buonsanti Raffaella,Ce cours vise à exposer les étudiants aux processus importants pour le génie chimique. Expériences sont réalisées dans des groupes. Les résultats sont analysés et utilisés pour concevoir des procédés à l'échelle industrielle. Rapports écrits et oraux et la performance des labo donnent la note
ChE-204,Introduction to transport phenomena,3,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/introduction-to-transport-phenomena-CHE-204,Buonsanti Raffaella,"This course aims at understanding the basic equations behind macroscopic and microscopic transport phenomena (mass, heat and momentum)."
MATH-234(b),Probability and statistics,4,https://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering/coursebook/probability-and-statistics-MATH-234-B,Zemel Yoav,"Ce cours enseigne les notions élémentaires de la théorie de probabilité et de la statistique, tels que l'inférence, les tests et la régression."
